1000
(
(0 (( 0 0 0) (0 0 -0)))
(0.1001 (( 0.00098761 0 0) (0 0 -1.88464)))
(0.2002 (( 0.00394654 0 0) (0 0 -3.76184)))
(0.3003 (( 0.00886509 0 0) (0 0 -5.62418)))
(0.4004 (( 0.0157238 0 0) (0 0 -7.4643)))
(0.500501 (( 0.0244957 0 0) (0 0 -9.27493)))
(0.600601 (( 0.035146 0 0) (0 0 -11.0489)))
(0.700701 (( 0.0476327 0 0) (0 0 -12.7793)))
(0.800801 (( 0.0619064 0 0) (0 0 -14.4591)))
(0.900901 (( 0.0779108 0 0) (0 0 -16.0819)))
(1.001 (( 0.0955827 0 0) (0 0 -17.6411)))
(1.1011 (( 0.114852 0 0) (0 0 -19.1306)))
(1.2012 (( 0.135643 0 0) (0 0 -20.5445)))
(1.3013 (( 0.157873 0 0) (0 0 -21.8773)))
(1.4014 (( 0.181455 0 0) (0 0 -23.1237)))
(1.5015 (( 0.206296 0 0) (0 0 -24.2787)))
(1.6016 (( 0.232296 0 0) (0 0 -25.3378)))
(1.7017 (( 0.259354 0 0) (0 0 -26.2968)))
(1.8018 (( 0.287363 0 0) (0 0 -27.1519)))
(1.9019 (( 0.316212 0 0) (0 0 -27.8998)))
(2.002 (( 0.345786 0 0) (0 0 -28.5374)))
(2.1021 (( 0.37597 0 0) (0 0 -29.0623)))
(2.2022 (( 0.406644 0 0) (0 0 -29.4724)))
(2.3023 (( 0.437687 0 0) (0 0 -29.7661)))
(2.4024 (( 0.468976 0 0) (0 0 -29.9422)))
(2.5025 (( 0.500388 0 0) (0 0 -30)))
(2.6026 (( 0.531798 0 0) (0 0 -29.9393)))
(2.7027 (( 0.563082 0 0) (0 0 -29.7603)))
(2.8028 (( 0.594117 0 0) (0 0 -29.4637)))
(2.9029 (( 0.62478 0 0) (0 0 -29.0508)))
(3.003 (( 0.654951 0 0) (0 0 -28.5231)))
(3.1031 (( 0.684509 0 0) (0 0 -27.8827)))
(3.2032 (( 0.713338 0 0) (0 0 -27.1321)))
